                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2958,                 1.4063,                 1.2358,                0.93543,                 0.8313,                0.87697,                0.53751,                 1.3393,                 1.3957,                  1.392,             0.00066298,             0.00066298,             0.00066298
                      1,                  1.322,                0.84871,                  1.268,                0.80719,                0.73618,                 0.8059,                0.48986,                  1.405,                 1.5642,                 1.4245,              0.0012419,              0.0012419,              0.0012419
                      2,                  1.294,                0.79355,                 1.2481,                0.92239,                0.86323,                 0.9162,                0.59793,                 1.2508,                0.77816,                 1.2882,              0.0017328,              0.0017328,              0.0017328
                      3,                 1.2568,                0.73775,                 1.2226,                0.93531,                0.88472,                 0.9319,                0.61181,                 1.2396,                0.75487,                 1.2639,               0.001604,               0.001604,               0.001604
                      4,                 1.2218,                0.69309,                  1.202,                0.94593,                0.89359,                0.94822,                0.63562,                 1.2009,                0.62622,                 1.2365,               0.001604,               0.001604,               0.001604
                      5,                 1.1937,                0.61793,                 1.2379,                0.94005,                0.91107,                 0.9521,                0.63669,                 1.2009,                0.60437,                 1.2319,               0.001472,               0.001472,               0.001472
                      6,                  1.181,                 0.5918,                 1.2311,                  0.957,                0.92824,                0.96431,                 0.6435,                   1.21,                 0.5731,                 1.2398,                0.00134,                0.00134,                0.00134
                      7,                 1.1583,                0.56154,                 1.2116,                 0.9598,                0.91748,                0.96305,                 0.6626,                   1.16,                0.54128,                 1.2071,               0.001208,               0.001208,               0.001208
                      8,                 1.1403,                0.53755,                 1.2019,                0.96645,                0.93132,                0.96686,                0.66292,                 1.1606,                0.53832,                 1.2031,               0.001076,               0.001076,               0.001076
                      9,                 1.1328,                0.51557,                 1.1915,                0.97805,                0.93158,                0.97316,                 0.6727,                 1.1344,                0.50336,                  1.193,               0.000944,               0.000944,               0.000944
                     10,                 1.1117,                0.49806,                 1.1781,                 0.9675,                0.94849,                0.97697,                0.67781,                 1.1279,                0.48927,                 1.1752,               0.000812,               0.000812,               0.000812
                     11,                 1.1051,                0.48238,                 1.1675,                0.97651,                0.94424,                0.97826,                0.67816,                 1.1245,                0.48289,                 1.1747,                0.00068,                0.00068,                0.00068
                     12,                 1.0902,                0.46522,                 1.1597,                0.97863,                0.95127,                0.98098,                0.69312,                  1.112,                 0.4647,                 1.1631,               0.000548,               0.000548,               0.000548
                     13,                 1.0693,                0.44587,                 1.1445,                0.98296,                 0.9433,                0.98162,                0.69677,                 1.1023,                0.44112,                 1.1545,               0.000416,               0.000416,               0.000416
                     14,                 1.0538,                0.43135,                 1.1344,                0.98024,                0.94564,                0.98153,                0.70721,                  1.091,                0.42766,                 1.1459,               0.000284,               0.000284,               0.000284
